id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,nom_vial,nom_v_e_1,numero_ext,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,latitud,longitud,fecha_alta,telefono,correoelec,www,PADO_geo,location_match,name_match,reason_for_checking,RA,Pharmacy,PADO,Chain,NO GSV,Permanently_closed,Note,GSV DATE
6975500,GLORIA DEL CONSUELO ROSALES GOMEZ,,464111,Farmacias sin minisúper,0 a 5 personas,CORONEL RUIZ,TERCERA NORTE ORIENTE,0,29370,7,Chiapas,2,Acala,1,Acala,134,9,16.55625925,-92.8055292,2019-11,9614471631,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
6975507,FARMACIA SIN NOMBRE,,464111,Farmacias sin minisúper,0 a 5 personas,HIDALGO,TERCERA NORTE ORIENTE,,29370,7,Chiapas,2,Acala,1,Acala,134,10,16.55616224,-92.80469224,2019-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
8273619,FARMACIA JUSTO JUEZ,,464111,Farmacias sin minisúper,0 a 5 personas,MORELOS,NANDAPUNGO,,29374,7,Chiapas,2,Acala,1,Acala,153,24,16.55683186,-92.81492802,2019-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
9475796,FARMACIAS YZA SUC 0095 MERCADO,FARMACON SA DE CV,464111,Farmacias sin minisúper,0 a 5 personas,HIDALGO,Central Oriente,,29370,7,Chiapas,2,Acala,1,Acala,134,12,16.55502561,-92.80527107,2024-05,,ATENCIONACLIENTES@YZA.MX,WWW.YZA.MX,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
9616716,UNIDAD MEDICA SANTA TERESITA DE JESUS,,464111,Farmacias sin minisúper,0 a 5 personas,QUINTA NORTE ORIENTE MARIANO NANGO,ILUMINARIA,0,29370,7,Chiapas,2,Acala,1,Acala,012A,13,16.5567659,-92.79955404,2024-11,9611738392,SANTATERESITADEJESUS@GMAIL.COM,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,TRUE,INDEPENDENT,,,,
9795140,FARMACIA HERNANDEZ,,464111,Farmacias sin minisúper,0 a 5 personas,NINGUNO,NINGUNO,,29370,7,Chiapas,2,Acala,1,Acala,83,30,16.56210247,-92.80049188,2024-11,9612184887,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
10367595,FARMALAB LA ESPERANZA,,464111,Farmacias sin minisúper,0 a 5 personas,MORELOS,NINGUNO,,29374,7,Chiapas,2,Acala,1,Acala,149,28,16.55662609,-92.81466993,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
10468858,FARMACIA DOÑA CHELO,,464111,Farmacias sin minisúper,0 a 5 personas,CORONEL RUIZ,PRIMERA NORTE PONIENTE,,29370,7,Chiapas,2,Acala,1,Acala,134,1,16.55586922,-92.80579882,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
10651020,FARMACIA FARMASALUD,,464111,Farmacias sin minisúper,0 a 5 personas,QUINTA NORTE PONIENTE,PRIMERA PONIENTE NORTE,0,29370,7,Chiapas,2,Acala,1,Acala,134,30,16.55873348,-92.80432428,2024-11,9611979062,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
11552793,FARMACIA EXPRES,,464111,Farmacias sin minisúper,0 a 5 personas,HIDALGO,PRIMERA NORTE ORIENTE,0,29370,7,Chiapas,2,Acala,1,Acala,134,3,16.55474621,-92.8054706,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
11687853,MEDICSTAT,,464111,Farmacias sin minisúper,0 a 5 personas,JUAREZ,TERCERA ORIENTE SUR LIBERTAD,0,29370,7,Chiapas,2,Acala,1,Acala,11,9,16.5523751,-92.80469132,2024-11,,,,FALSE,TRUE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
444288,FARMACIA ACAPETAHUA,,464111,Farmacias sin minisúper,0 a 5 personas,SEGUNDA PONIENTE SUR,PRIMERA SUR PONIENTE,,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,108,2,15.28058027,-92.69105298,2014-12,9181156517,,,TRUE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
444348,FARMACIA DEL SURESTE,,464111,Farmacias sin minisúper,0 a 5 personas,PRIMERA SUR PONIENTE,PRIMERA PONIENTE SUR,0,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,108,12,15.28051017,-92.69037051,2014-12,,,,FALSE,FALSE,TRUE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
505876,FARMACIA EL HULAR,,464111,Farmacias sin minisúper,0 a 5 personas,CUARTA PONIENTE NORTE,PRIMERA NORTE PONIENTE,0,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,108,8,15.28048246,-92.6930746,2010-07,9186470658,,,FALSE,TRUE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
505979,FARMACIAS SIMILARES BETHEL,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL MIGUEL HIDALGO,LAZARO CARDENAS,0,30583,7,Chiapas,3,Acapetahua,46,Soconusco,150,11,15.31495488,-92.72660972,2010-07,,,,FALSE,TRUE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
505981,FARMACIA ESQUIPULAS,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL MIGUEL HIDALGO,LAZARO CARDENAS,12,30583,7,Chiapas,3,Acapetahua,46,Soconusco,150,12,15.31507216,-92.72661118,2010-07,9621520954,,,FALSE,TRUE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
508079,FARMACIA CRUZ ROJA,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL SUR,PRIMERA SUR PONIENTE,1,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,112,6,15.28231071,-92.68990634,2010-07,,AGUA_LARA@HOTMAIL.COM,,TRUE,TRUE,TRUE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
508089,FARMACIA SAN FRANCISCO,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL PONIENTE,PRIMERA PONIENTE SUR,0,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,112,6,15.28171309,-92.69057782,2010-07,9186470138,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
6297702,FARMACIAS ESQUIVAR,FARMACIAS ESQUIVAR SA DE CV,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL PONIENTE,PRIMERA PONIENTE NORTE,0,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,112,7,15.28213541,-92.69027096,2010-07,9186470452,CEAC@ESQUIVAR.COM.MX,WWW.ESQUIVAR.COM.MX,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,TRUE,INDEPENDENT,,,,
6299014,FARMACIAS MEDICAS ECONOMICAS ACAPETAHUA 1,DINAMICA DE FARMACOS SA DE CV,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL PONIENTE,PRIMERA PONIENTE NORTE,28,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,108,10,15.28145227,-92.69100576,2024-05,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
6702028,FARMACIAS SIMILARES ACAPETAHUA 1,GOYOMA SA DE CV,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL PONIENTE,Segunda Poniente Sur,,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,108,11,15.28149948,-92.69080414,2016-01,,CGEN@GOYOMA.COM,,FALSE,TRUE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,TRUE,SEEMS TO BE CLOSED,
9477630,FARMACIAS YZA SUC 9058 ACAPETAHUA,FARMACON SA DE CV,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL SUR,Central Poniente,,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,112,6,15.28232506,-92.68991016,2024-05,,ATENCIONACLIENTES@YZA.MX,WWW.YZA.MX,TRUE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
10190991,FARMACIA LA FE,,464111,Farmacias sin minisúper,0 a 5 personas,PRIMERA PONIENTE NORTE,PRIMERA NORTE PONIENTE,0,30508,7,Chiapas,3,Acapetahua,1,Acapetahua,108,24,15.28274879,-92.69170638,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
10460570,FARMACIA BOTIQUIN,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL MIGUEL HIDALGO,NINGUNO,0,30583,7,Chiapas,3,Acapetahua,46,Soconusco,150,1,15.31646745,-92.7257193,2024-11,9181016334,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
10607550,FARMA PLUS,,464111,Farmacias sin minisúper,0 a 5 personas,SEGUNDA ORIENTE SUR,TERCERA SUR ORIENTE,0,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,112,25,15.28128293,-92.68604715,2024-11,9186470262,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,TRUE,INDEPENDENT,,,,
10820304,FARMACIA LENIS,,464111,Farmacias sin minisúper,0 a 5 personas,GUADALUPE VICTORIA,FRANCISCO VILLA,0,30583,7,Chiapas,3,Acapetahua,46,Soconusco,165,6,15.3136095,-92.72930014,2024-11,9671433352,,,FALSE,FALSE,TRUE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
10964451,FARMACIA YOLAYNI,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL ORIENTE,CENTRAL NORTE,0,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,112,8,15.28250702,-92.68987462,2024-11,9641086956,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
11412745,FARMACIA SIMILARES ACAPETAHUA 2,GOYOMA SAPI DE CV,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL SUR,PRIMERA SUR PONIENTE,0,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,112,5,15.28159083,-92.68921166,2024-11,9181256342,ACAP02CHIS@HOTMAIL.COM,,TRUE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,TRUE,FARMACIAS SIMILARES,,,,
11521246,FARMACIA NELLY,,464112,Farmacias con minisúper,0 a 5 personas,SEGUNDA PONIENTE NORTE,PRIMERA NORTE PONIENTE,0,30580,7,Chiapas,3,Acapetahua,1,Acapetahua,108,10,15.2814855,-92.69182811,2024-11,9181123047,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
405992,FARMAGENERICA Y MAS,,464111,Farmacias sin minisúper,0 a 5 personas,20 DE NOVIEMBRE,IGNACIO ALLENDE,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,124,18,16.73731347,-92.03718001,2014-12,9191148991,CUER_72@HOTMAIL.COM,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
478315,FARMACIAS YIREH,,464111,Farmacias sin minisúper,0 a 5 personas,UBILIO GARCIA,VICENTE GUERRERO,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,43,16.7342014,-92.03932901,2010-07,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
478345,FARMACIA SAN CARLOS,,464111,Farmacias sin minisúper,0 a 5 personas,UBILIO GARCIA,JOSE MARIA MORELOS,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,54,16.7330843,-92.03993531,2010-07,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,TRUE,INDEPENDENT,,,,
478409,FARMACIA GUADALUPANA,,464111,Farmacias sin minisúper,0 a 5 personas,UBILIO GARCIA,ENRIQUE BORJA,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,68,16.72996065,-92.04137165,2010-07,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
479172,FARMACIA MARIA AUXILIADORA,,464112,Farmacias con minisúper,0 a 5 personas,UBILIO GARCIA,IGNACIO ZARAGOZA,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,124,37,16.7362687,-92.03832556,2010-07,,,,TRUE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
479508,UARAS FARMACIAS,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL,FRANCISCO JAVIER MINA,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,34,16.73525547,-92.03764777,2010-07,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
6197668,FARMAGENERICA Y ALGO MAS,,464111,Farmacias sin minisúper,0 a 5 personas,UBILIO GARCIA,VICENTE GUERRERO,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,43,16.7345328,-92.03914551,2010-07,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
7012698,FARMACIA GENERICA,,464111,Farmacias sin minisúper,0 a 5 personas,UBILIO GARCIA,ADOLFO LOPEZ MATEOS,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,28,16.73113988,-92.04088291,2019-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
8638821,FARMACIA AMAYA,,464111,Farmacias sin minisúper,0 a 5 personas,20 DE NOVIEMBRE,SALVADOR REYES,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,42,16.72814524,-92.0410052,2019-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
9459035,FAMACIAS SIMILARES  ALTAMIRANO 1,FARRAM SA DE CV,464111,Farmacias sin minisúper,0 a 5 personas,UBILIO GARCÍA,Vicente Guerrero,,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,43,16.7345997,-92.03910794,2024-05,,CONTABILIDAD2@FARRAM.COM.MX,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
9475648,FARMACIAS YZA SUC 9057 ALTAMIRANO PARQUE,FARMACON SA DE CV,464111,Farmacias sin minisúper,0 a 5 personas,UBILIO GARCÍA,Central,1,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,33,16.73562482,-92.03853323,2024-05,,ATENCIONACLIENTES@YZA.MX,WWW.YZA.MX,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
9551405,FARMACIAS ROSAS,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL,UBILIO GARCIA,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,33,16.73554234,-92.03828413,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
9725946,FARMACIA SANTA FE,,464111,Farmacias sin minisúper,0 a 5 personas,20 DE NOVIEMBRE,NINGUNO,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,162,1,16.72640035,-92.04182572,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
9791867,FARMACIA FATIMA,,464111,Farmacias sin minisúper,0 a 5 personas,20 DE NOVIEMBRE,NINGUNO,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,162,45,16.72000324,-92.04367649,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
10645122,FARMACIA SIN NOMBRE,,464111,Farmacias sin minisúper,0 a 5 personas,IGNACIO ALLENDE,BELISARIO DOMINGUEZ,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,124,43,16.73548531,-92.03271247,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,TRUE,,,
10705121,FARMACIA FARMA VIDA,,464111,Farmacias sin minisúper,0 a 5 personas,FRANCISCO JAVIER MINA,16 DE SEPTIEMBRE,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,8,16.73248349,-92.03798872,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
10715492,FARMACIA CADAY,,464111,Farmacias sin minisúper,0 a 5 personas,VICENTE GUERRERO,JOAQUIN MIGUEL GUTIERREZ,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,46,16.7355936,-92.04053327,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
10809793,FARMACIA SIN NOMBRE,,464111,Farmacias sin minisúper,0 a 5 personas,UBILIO GARCIA,ROSARIO CASTELLANOS,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,53,16.73191446,-92.04056418,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
10846447,FARMACIA LA ESPERANZA,,464111,Farmacias sin minisúper,0 a 5 personas,IGNACIO ZARAGOZA,5 DE MAYO,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,124,38,16.73703193,-92.03824229,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
10915025,FARMACIA LA CENTRAL,,464111,Farmacias sin minisúper,0 a 5 personas,CENTRAL,JOSEFA ORTIZ DE DOMINGUEZ,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,124,80,16.73428064,-92.03524944,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
10917303,FARMA VIDA,,464111,Farmacias sin minisúper,0 a 5 personas,UBILIO GARCIA,16 DE SEPTIEMBRE,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,139,55,16.73399225,-92.03944736,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,TRUE,FALSE,,,,,
11145201,FARMACIA. ALTAMIRANO,,464111,Farmacias sin minisúper,0 a 5 personas,IGNACIO ZARAGOZA,20 DE NOVIEMBRE,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,124,16,16.73653748,-92.03720789,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,,,,
11352430,MINI FARMACIA SIN NOMBRE,,464112,Farmacias con minisúper,0 a 5 personas,FRANCISCO JAVIER MINA,NINGUNO,0,30190,7,Chiapas,4,Altamirano,1,Altamirano,158,1,16.74215704,-92.03414548,2024-11,,,,FALSE,FALSE,FALSE,No GSV within radius,Oscar ,FALSE,FALSE,,TRUE,,,
